step,mean_vulnerable,mean_constant
57,512.1337380847267,511.4121331448465
58,511.4651399467503,510.0241154789877
59,512.3029479128004,511.71937935202186
60,510.67290931270634,510.27240181983166
61,509.01742369424824,509.9349507822939
62,512.19192233982,509.9361945927221
63,511.2876393281025,512.6134277127966
64,512.3302714666138,510.149488831011
65,511.92979753051486,510.9329218787662
66,509.4803445785702,508.3911505668791
67,510.8266480809291,511.52362053945467
68,509.43901605603554,511.24324893719165
69,510.2923829500342,510.81784200595285
70,512.3823743130154,511.1348975348812
71,512.817637375676,509.1258739129396
72,511.3804583677687,511.7493686959023
73,512.2790551865806,511.6404178199557
74,510.2921042952434,510.5915537653071
75,510.90773019346756,512.1447187117536
76,510.1039516581217,509.3905072408534
77,511.40580577806014,509.9644093400074
78,512.8346627873004,511.3299414911316
79,511.6562354105091,511.78555935116697
80,510.2856593547523,510.8162979245884
81,512.2796922770788,509.6914852999173
82,510.089113501087,510.289698589527
83,513.6225436423354,508.6411184724328
84,511.4839747443972,510.56228018522427
85,510.07241915550713,509.6771318444551
86,510.48140985849693,513.0808420034072
87,510.6325513304971,511.5051279949065
88,510.74075340659215,510.8118858068538
89,509.8805361488872,508.12718876390545
90,510.150948291412,511.47666829292893
91,510.5815529036691,511.64919597824553
92,508.761352099667,511.36039553909575
93,511.67474173288616,510.94092341903047
94,509.88590157260427,509.9896237460812
95,508.586831341374,510.67008209666676
96,511.80127984917914,512.4877191386944
97,510.8830834284443,509.1610862436565
98,510.6605995895643,510.06214473210525
99,510.53281592445643,510.661576884149
100,511.76818816827455,511.01804590520476
101,511.6841014207114,509.5872005886011
102,512.0349641187152,512.1817376918273
103,511.6770178373868,511.85469440604714
104,509.86529669207783,511.7933763254301
105,512.3504093682982,509.6347374217266
106,511.8995483029243,509.49575050742396
107,510.661587902139,510.3293510647923
108,509.8234482425665,510.47076794877563
109,510.4217835023574,510.4846453535021
110,512.6499501442512,509.47602320739827
111,511.72083472687007,512.5524397982327
112,512.2647076766231,510.73378458626115
113,509.47843805709846,511.6298516517834
114,509.149551584282,509.5625665521172
115,510.26414941590104,510.9041423569383
116,512.1402552020236,510.7571351467751
117,511.24279704291394,510.51229941123614
118,510.03638490639315,511.1319547699765
119,510.66951530116097,510.9871536785367
120,513.3717479789221,513.4219516945784
121,511.52958608128176,512.0974013691607
122,511.70689262947786,511.21718756998774
123,511.16937667279745,510.75653379201793
124,511.94136805008475,512.0305115292123
125,512.1753266817124,512.8132277700914
126,511.8536262195707,509.70422412757665
127,511.8477736141667,511.5114848871174
128,512.7234603230218,509.9915898232062
129,512.1643001877171,512.0524527088315
130,512.9975832495558,510.75326534411
131,510.7952626113643,509.969827842626
132,511.179217768757,512.208254809527
133,512.6087423563289,512.7903670057348
134,511.13866539627554,512.278516937432
135,510.5380351170451,509.2903768389567
136,512.8255935657988,510.99104943020376
137,511.9853898826304,513.4832568923248
138,509.90091232842184,511.75806462557307
139,509.89427087937804,508.58451039606024
140,508.58155051735116,510.41490182340124
141,510.75445125423846,510.8912248664322
142,512.1832668899142,511.4030822325302
143,510.85903928810035,511.22765876866276
144,511.7030748109975,511.6503535771077
145,510.880104472838,514.1247881087492
146,512.0050577221446,509.66994418723993
147,512.4520231925964,510.75693464485414
148,509.1611481839455,510.62560795303784
149,510.20156061361774,508.84252519054166
150,509.8012723707719,512.1979363237151
151,512.9919760601994,510.7218575929857
152,512.3048945990475,511.47165172357114
153,510.1011629378432,511.01222809103785
154,510.787453212698,510.8238296900385
155,511.54835694938714,509.3549729260814
156,512.7677241145724,511.02949743920163
157,512.8838913671876,507.891831792495
158,511.9016627566176,510.48594039323314
159,512.7276757991726,508.42882565827864
160,512.420046892131,511.5467410089649
161,512.4240856836833,509.2446247534421
162,511.94597053077877,511.742575666221
163,511.5449685362842,509.6601645032118
164,510.6464986300739,511.5065243037979
165,511.10181615949375,511.0700558762645
166,511.4977972372235,512.4656559534313
167,510.60002800890965,509.86469761714795
168,510.3717206367896,512.0690795074299
169,511.95871430320005,509.80325806112427
170,512.4118057946172,511.12566234646073
171,509.94225613854155,511.2467999377343
172,510.5290398678211,511.26926928495726
173,511.7570093041308,510.13071087148455
174,512.5628052596852,511.43177520118
175,511.45238018930655,509.90357548164263
176,512.3846481017966,512.9831898309984
177,511.74455141909294,511.7236686292282
178,511.89558627868274,510.060091422823
179,510.07408552118005,512.2448518198389
180,509.65475937035,511.0890447143188
181,511.4106518687779,509.35352412947987
182,510.7012123789943,511.7240450348966
183,510.69847112141764,511.34583116323716
184,511.0443879666046,510.57404546554267
185,509.70906046781755,511.1615988671769
186,508.24044029629545,509.6401744498351
187,510.74586823114146,509.577419531491
188,510.6196098525478,510.4378370929812
189,512.8255203988791,509.5284104930132
190,509.7427538416656,509.437421273172
191,511.2124734584765,510.71576808588014
192,511.7513914778668,513.9726923547173
193,510.32940388229986,511.0435340346295
194,509.90169384411496,510.1469122811332
195,512.4182147376287,511.148169049765
196,510.3910805557327,510.08286348525127
197,512.1568764558447,510.7059752444401
198,510.1251539307154,509.89799697896376
199,511.5254033211184,512.9529241414815
200,511.38813561797696,510.2611563134545
201,511.8587979181083,512.4042717515116
202,511.1624365671397,512.9874782282719
203,511.5583650624921,512.3650101056091
204,512.8838292420975,511.30756049433114
205,512.1949625969015,512.6117572844015
206,510.57963130927976,510.16984033870386
207,512.8343775544083,510.1861886788789
208,511.0850715879366,510.6472801268124
209,510.62243459403,511.4809133644653
210,512.6549082353298,512.1634558553568
211,510.88521581822397,511.30967844619977
212,510.08584739600394,510.4510796137092
213,509.98106791524293,513.7916773376091
214,511.7453860682191,513.5738886200804
215,512.423008834564,508.8341979166186
216,508.61098630169437,508.68898510581533
217,510.3809281821284,513.561572267845
218,511.19566391719144,510.71250901732157
219,511.55652109481946,511.1451721891627
220,513.9021944293435,511.8678055751074
221,510.37722165482216,508.87879150086866
222,509.0686895216759,511.4305537158536
223,509.41713790289697,510.4937797846828
224,510.50567570288695,511.20369439614075
225,510.5134664126042,510.3627501328974
226,513.017476518851,511.60482100483614
227,510.7498757723545,511.57127843727716
228,511.6793229496803,511.8709603040714
229,510.52392205450025,512.2063241263368
230,513.7053923309993,508.31369901360864
231,510.2366194401928,510.37353632053004
232,511.5527924301818,512.4896679599273
233,514.0361544843853,509.4419033056936
234,511.8942965482207,510.8143894465817
235,510.1882167342203,509.2927227063245
236,509.65291164582925,512.2628540074643
237,513.4432810830175,508.34885023544814
238,512.5292536944934,509.8699651444133
239,510.90161807668335,511.3575380722224
240,510.70427010066186,508.8157500395757
241,511.88240598417343,509.306326588571
242,511.28803791359957,512.0090898236409
243,510.93722763321296,510.27389613130583
244,509.87628932030805,509.08212593252847
245,510.88780575692005,509.79315564063677
246,511.0907552547545,509.1531049416419
247,511.3319754580651,510.0031452276125
248,510.12835755121847,509.396528461677
249,513.3996804955627,508.677764767353
250,510.1373010321693,512.4284123816107
251,510.6069952844875,513.1793819250764
252,511.3657897129981,512.4344839083597
253,512.2948541064438,511.1688360906867
254,510.6353205290787,509.1364196417599
255,512.200839187345,510.097738294333
256,511.7798979141643,511.541229243025
257,511.1586914950731,511.9416657295821
258,511.8798529482849,510.20648482022193
259,512.4422914970503,512.0001937241861
260,512.0989908723492,513.1501294041695
261,509.57929745753006,511.15991776841264
262,508.2321818695251,510.5437210723075
263,511.54532965387517,510.3437685512321
264,512.1023800936424,509.0287193375293
265,511.1632509978579,511.14433116157755
266,511.4499681399267,511.9259641518043
267,509.6929867159569,510.4891387712163
268,512.4403181074883,510.0839301429137
269,513.592842044578,509.9623116755244
270,509.86964515168677,510.5884319064579
271,511.4545404885309,511.702680786752
272,512.3418190054207,510.75703049538834
273,509.9342596807133,509.8273681658762
274,511.6812418052149,511.5949053216654
275,510.331444932278,512.5040877880803
276,510.8911490566317,511.0379366103254
277,511.0585336593858,509.6700088455986
278,513.114351509356,508.80307079362876
279,510.0067190353039,511.6377473282819
280,511.0830509273392,511.10731956638267
281,511.82293011762124,510.86693762915644
282,510.8882945938933,511.5422682156563
283,510.4208109460089,511.0014516130764
284,510.6745981398001,510.8597575078127
285,510.61336524176244,510.075825490101
286,511.0630978817931,511.7857275870351
287,512.4878355728503,511.70941935597045
288,511.11210160159897,508.7248857158629
289,512.4774306561102,512.9362649890016
290,511.71429505101054,511.98246108931517
291,509.98827057499324,509.36300520502476
292,511.50144989133116,511.97504733459033
293,511.3603644282829,509.8377017062631
294,512.2141806649214,508.64398008172157
295,510.199865226888,510.52029890157525
296,512.7880356233579,510.54623388606046
297,512.0761360451384,509.5499089809076
298,509.4176487526954,511.18240159176094
299,512.6599246413922,512.1007535883634
300,511.12475660417493,510.5170615048021
301,511.11019519361395,511.0487695829344
302,512.5323126646443,512.9549997770721
303,510.559352189591,510.7122285721161
304,512.2017033245381,510.95154348019685
305,511.36162804217037,511.94932583948986
306,511.84381827019126,512.5059044308508
307,509.38498234197544,510.7541087290561
308,511.6001537134952,509.926687548133
309,512.0558273136439,510.76559510901694
310,509.26678136144113,511.2286443326003
311,511.49855633635804,511.4268880127867
312,510.79155110162947,513.8805651103132
313,511.38115928976106,511.68495773535574
314,508.43371087470297,511.7933250940443
315,510.3917052622688,511.1179826304993
316,510.8677918785116,511.33782266275927
317,511.1221764961094,511.26343127563433
318,509.5714363035023,511.0856553096178
319,511.5868696380696,512.461329555758
320,510.52851342485275,512.0107840733901
321,509.45340828228103,510.52741315620756
322,509.3568579290922,514.1210602897073
323,511.6154645997213,511.0757469491224
324,511.96904672456276,513.9345448189225
325,511.46325343671253,510.5054559526458
326,514.3129547759148,512.8664017072732
327,511.05011144042055,511.1712441968742
328,510.87729751893824,508.36533415598
329,508.3509088289897,511.83774210167377
330,508.4305922395941,509.8529790507554
331,514.1438593279429,510.180923022392
332,511.83071663075293,510.50490363410984
333,510.90586034078103,511.792073311138
334,508.25942265164787,508.959605279348
335,509.6738822006977,511.9466109112488
336,510.7604097071283,513.49438236176
337,509.64678324426575,510.9510758186219
338,512.1270963584149,512.1311919906025
339,509.81169018954796,511.9497716585867
340,511.14090828213097,510.982909751397
341,513.8351691390934,511.461926606431
342,512.1769151769709,509.0059648967029
343,512.9443504790224,511.6378289495646
344,508.23371578257036,511.18783465674227
345,510.4798930224325,513.0772582794441
346,513.0411095014341,513.1639767270967
347,511.36422114185933,511.58374022215554
348,511.3076101119821,512.3525497469499
349,510.73400792455845,510.9653840977829
350,510.85417380754194,510.26225400968224
351,511.15503583299056,511.48931464825137
352,510.5471828410697,510.86707637001393
353,511.2990233217172,508.8519971756695
354,512.1112283000881,512.0898156173296
355,511.70313446992355,510.0604878839609
356,511.30137794154854,512.6455714583981
357,511.24393487726803,510.60045925082676
358,510.2977663691861,509.7806155982489
359,511.39629806977103,510.7728254262105
360,509.5404170131824,510.7008754495475
361,509.7629678496246,512.3426861651152
362,510.8180569631171,510.50410958667453
363,509.59691719528087,512.1110967379086
364,509.8320413965567,511.9185898182694
365,510.0791745674902,514.1351764698401
366,510.09365083720115,511.6288725528954
367,511.7026773086003,508.7501214134345
368,510.1983633860511,512.074891405825
369,512.7657549877806,509.9722196960135
370,511.23915008021453,511.9157178160466
371,509.85159472084507,511.3084906266254
372,509.94851057188856,512.930338492137
